prompt_id,category,subtype,n_tok,status,error_msg,metrics_device,attr_s,rm_top1_token,rm_top1_prob,metric_s,peak_gb,replacement_score,completeness_score,error_mass_total,mean_path_length,err_pos_thirds,err_pos_argmax_norm,err_pos_gini,err_pos_gini_norm,err_second_last_pos,err_layer_thirds,err_layer_argmax,err_late_layers,err_bos_pos,err_final_pos,err_final_share,error_by_position,error_by_layer,n_nodes,n_features,n_interior,n_edges,n_tokens,series_steps,node_count_curve
p0188,entity_known_unknown,unknown|p04,9,ok,,cuda,11.58, ,0.83984375,0.11,6.24,0.7525642289947203,0.9384771585464478,0.2474357783794403,3.4035245507345335,"[0.15359878540039062, 0.22829531133174896, 0.6181058883666992]",1.0,0.5123273079754758,0.5855169234005437,0.014141849242150784,"[0.41016554832458496, 0.2711043357849121, 0.3187299966812134]",24,0.062456924468278885,0.0,0.13879966735839844,0.5609523057937622,"[0.0, 0.010456878691911697, 0.007604367099702358, 0.019944587722420692, 0.015413508750498295, 0.026052556931972504, 0.015022363513708115, 0.014141849242150784, 0.13879966735839844]","[0.016270838677883148, 0.014120480976998806, 0.012568887323141098, 0.011199080385267735, 0.010779127478599548, 0.010834213346242905, 0.011095535941421986, 0.007528637535870075, 0.007092838641256094, 0.008077815175056458, 0.005730312317609787, 0.01002843864262104, 0.0066685788333415985, 0.009055719710886478, 0.005901253782212734, 0.00859187450259924, 0.006708704866468906, 0.006318221800029278, 0.008284296840429306, 0.008123989216983318, 0.015610563568770885, 0.00938787218183279, 0.007250323425978422, 0.006464617792516947, 0.018505271524190903, 0.005238276906311512]",8368,8123,8,19974882,9,20,"{""0.95"": 4679, ""0.9"": 3253, ""0.8"": 1670, ""0.7"": 885}"
p0189,entity_known_unknown,known|p05,9,ok,,cuda,12.41, ,0.828125,0.12,6.27,0.7436432532838885,0.9359415173530579,0.25635671615600586,3.375641938598198,"[0.27825841307640076, 0.23357947170734406, 0.48816221952438354]",1.0,0.43011198817723784,0.4915565579168432,0.011903501115739346,"[0.4860539436340332, 0.2771742045879364, 0.2367718666791916]",1,0.04521039128303528,0.0,0.11324013769626617,0.4417288303375244,"[0.0, 0.012287406250834465, 0.02115802653133869, 0.03788795694708824, 0.01523561030626297, 0.028482569381594658, 0.016161469742655754, 0.011903501115739346, 0.11324013769626617]","[0.019743692129850388, 0.01984594762325287, 0.015326650813221931, 0.01714020036160946, 0.013346480205655098, 0.010869575664401054, 0.011338584125041962, 0.008357531391084194, 0.008634518831968307, 0.00902420375496149, 0.005485830828547478, 0.012017103843390942, 0.007742544170469046, 0.007459109183400869, 0.0066893259063363075, 0.00785326212644577, 0.009606914594769478, 0.005177158862352371, 0.007532508112490177, 0.007955151610076427, 0.005014759488403797, 0.006039807572960854, 0.005448911804705858, 0.017340414226055145, 0.009073269553482533, 0.002293227706104517]",8738,8493,8,21371044,9,19,"{""0.95"": 5032, ""0.9"": 3603, ""0.8"": 1961, ""0.7"": 1076}"
p0192,entity_known_unknown,unknown|p06,9,ok,,cuda,11.13, ,0.75390625,0.09,6.11,0.7378624521411927,0.9340998530387878,0.2621375322341919,3.3768857664390963,"[0.17477042973041534, 0.22280964255332947, 0.602419912815094]",1.0,0.4908205050292195,0.5609377200333937,0.014299034141004086,"[0.41959577798843384, 0.27785149216651917, 0.3025527596473694]",24,0.062255945056676865,0.0,0.14361783862113953,0.5478720664978027,"[0.0, 0.014119627885520458, 0.010610749013721943, 0.021083513274788857, 0.014326190575957298, 0.02968512289226055, 0.0143954548984766, 0.014299034141004086, 0.14361783862113953]","[0.018281254917383194, 0.01204775832593441, 0.013797246851027012, 0.01351422443985939, 0.012979837134480476, 0.011912962421774864, 0.013076814822852612, 0.0074707334861159325, 0.006910970900207758, 0.0076057096011936665, 0.005996242165565491, 0.011665637604892254, 0.006852512247860432, 0.009993759915232658, 0.006558192893862724, 0.008424362167716026, 0.007564251776784658, 0.008174633607268333, 0.007359568029642105, 0.009694920852780342, 0.016191033646464348, 0.006562047637999058, 0.004515171516686678, 0.011369808577001095, 0.018812935799360275, 0.004804946482181549]",7784,7539,8,16608145,9,19,"{""0.95"": 4186, ""0.9"": 2896, ""0.8"": 1523, ""0.7"": 815}"
p0193,entity_known_unknown,known|p07,9,ok,,cuda,13.36, ,0.81640625,0.13,6.36,0.7359357757491798,0.9339125156402588,0.2640641927719116,3.3923984896681145,"[0.3235189616680145, 0.1975533366203308, 0.47892776131629944]",1.0,0.42642015751910173,0.4873373228789734,0.014173179864883423,"[0.5010293126106262, 0.25399062037467957, 0.24497994780540466]",1,0.052006568759679794,0.0,0.11229449510574341,0.4252545237541199,"[0.0, 0.014475660398602486, 0.052349913865327835, 0.018604198470711708, 0.01588362269103527, 0.021787798032164574, 0.014495342038571835, 0.014173179864883423, 0.11229449510574341]","[0.020070571452379227, 0.024023927748203278, 0.01439257524907589, 0.019269689917564392, 0.014731356874108315, 0.011397500522434711, 0.013449864462018013, 0.00741207879036665, 0.007556368596851826, 0.008405345492064953, 0.00494204368442297, 0.009186485782265663, 0.00709892250597477, 0.007165593095123768, 0.006780819036066532, 0.006242694798856974, 0.00936814770102501, 0.007879785262048244, 0.006534420885145664, 0.006149452179670334, 0.010791728273034096, 0.004516152665019035, 0.003517345990985632, 0.018107708543539047, 0.01240999810397625, 0.0026636309921741486]",9221,8975,8,23911696,9,19,"{""0.95"": 5380, ""0.9"": 3831, ""0.8"": 2051, ""0.7"": 1107}"
p0194,entity_known_unknown,unknown|p07,9,ok,,cuda,11.04, ,0.83984375,0.09,6.08,0.7533618134234714,0.9386918544769287,0.2466382086277008,3.384429289917239,"[0.186510369181633, 0.2283729761838913, 0.5851166248321533]",1.0,0.48331457570081077,0.5523595150866408,0.01437266543507576,"[0.4409935474395752, 0.27881017327308655, 0.28019627928733826]",0,0.05233549326658249,0.0,0.12993945181369781,0.5268423557281494,"[0.0, 0.015478979796171188, 0.006707684602588415, 0.023813920095562935, 0.014713609591126442, 0.02693752571940422, 0.014674365520477295, 0.01437266543507576, 0.12993945181369781]","[0.01742384023964405, 0.01677621342241764, 0.012899552471935749, 0.012137830257415771, 0.012926390394568443, 0.011078475043177605, 0.010637708008289337, 0.007537534926086664, 0.007348310202360153, 0.007814964279532433, 0.005226018838584423, 0.011009937152266502, 0.006300699897110462, 0.009697133675217628, 0.006823036819696426, 0.007781387306749821, 0.006838215980678797, 0.007273847237229347, 0.007897398434579372, 0.008874217979609966, 0.0106144268065691, 0.008869083598256111, 0.004919905215501785, 0.009948402643203735, 0.015896623954176903, 0.0020870475564152002]",7862,7617,8,17157004,9,19,"{""0.95"": 4286, ""0.9"": 2964, ""0.8"": 1541, ""0.7"": 836}"
p0195,entity_known_unknown,known|p08,9,ok,,cuda,12.58, ,0.8515625,0.12,6.29,0.7330466508865356,0.9335345029830933,0.26695334911346436,3.4052453158590454,"[0.3123350143432617, 0.2137283980846405, 0.47393661737442017]",1.0,0.4149158075110438,0.47418949429833573,0.01218100544065237,"[0.48957306146621704, 0.2707104980945587, 0.2397165149450302]",3,0.05083290487527847,0.0,0.1143379658460617,0.42830690741539,"[0.0, 0.014704324305057526, 0.03645450621843338, 0.03222005069255829, 0.017643427476286888, 0.025148460641503334, 0.014263621531426907, 0.01218100544065237, 0.1143379658460617]","[0.020193399861454964, 0.01833975873887539, 0.015117081813514233, 0.0226735919713974, 0.014415865764021873, 0.01147262193262577, 0.011475241743028164, 0.008450089022517204, 0.008555509150028229, 0.009445498697459698, 0.005361035466194153, 0.009554173797369003, 0.007499460130929947, 0.0093565434217453, 0.006449262611567974, 0.006928471382707357, 0.009531110525131226, 0.008141513913869858, 0.006531517952680588, 0.006628705188632011, 0.007909923791885376, 0.0044088708236813545, 0.005897276569157839, 0.014615421183407307, 0.011740460991859436, 0.00626094825565815]",8893,8648,8,21751762,9,19,"{""0.95"": 5204, ""0.9"": 3698, ""0.8"": 1958, ""0.7"": 1045}"
p0196,entity_known_unknown,unknown|p08,9,ok,,cuda,11.68, ,0.85546875,0.11,6.18,0.7470043596034479,0.9366028308868408,0.2529956102371216,3.3627304276358108,"[0.20028188824653625, 0.20969337224960327, 0.5900247097015381]",1.0,0.4648887788236238,0.5313014615127128,0.014862976968288422,"[0.4255037307739258, 0.2669794261455536, 0.3075169324874878]",24,0.06241827830672264,0.0,0.13441067934036255,0.5312767028808594,"[0.0, 0.014212661422789097, 0.012275122106075287, 0.024182654917240143, 0.014130588620901108, 0.024976767599582672, 0.013944147154688835, 0.014862976968288422, 0.13441067934036255]","[0.018159473314881325, 0.015982000157237053, 0.013009786605834961, 0.0147189786657691, 0.01159133855253458, 0.010414263233542442, 0.010273571126163006, 0.006973437964916229, 0.006527707912027836, 0.008596690371632576, 0.005052534397691488, 0.009968100115656853, 0.006726961582899094, 0.00815031211823225, 0.006264339201152325, 0.007722388952970505, 0.006597493775188923, 0.008465797640383244, 0.007718415930867195, 0.007663722150027752, 0.013987654820084572, 0.009392466396093369, 0.007368386257439852, 0.00807288009673357, 0.02077156864106655, 0.002825322328135371]",8415,8170,8,19975731,9,19,"{""0.95"": 4656, ""0.9"": 3251, ""0.8"": 1689, ""0.7"": 894}"
p0197,entity_known_unknown,known|p09,9,ok,,cuda,12.1, ,0.73046875,0.11,6.19,0.7333691279072089,0.933236300945282,0.2666308879852295,3.400616435535744,"[0.2803925573825836, 0.22583100199699402, 0.49377644062042236]",1.0,0.4193630330060527,0.4792720377212031,0.014814830385148525,"[0.48155710101127625, 0.26180902123451233, 0.2566339075565338]",1,0.05295248329639435,0.0,0.11684123426675797,0.43821337819099426,"[0.0, 0.013672281987965107, 0.01745678298175335, 0.04363225772976875, 0.017953548580408096, 0.025755757465958595, 0.01650421880185604, 0.014814830385148525, 0.11684123426675797]","[0.0185801200568676, 0.019447630271315575, 0.017500702291727066, 0.01826573722064495, 0.013918919488787651, 0.010993430390954018, 0.010836265981197357, 0.00971197709441185, 0.009143216535449028, 0.008857060223817825, 0.005498427897691727, 0.011340933851897717, 0.008118911646306515, 0.005674885120242834, 0.007569930516183376, 0.007728571072220802, 0.00918942503631115, 0.0058282348327338696, 0.009279543533921242, 0.006194498389959335, 0.011269660666584969, 0.006237444002181292, 0.0033381376415491104, 0.014488299377262592, 0.011811599135398865, 0.005807344801723957]",8463,8214,8,19965821,9,19,"{""0.95"": 4821, ""0.9"": 3468, ""0.8"": 1904, ""0.7"": 1049}"
p0198,entity_known_unknown,unknown|p09,9,ok,,cuda,11.33, ,0.83984375,0.1,6.12,0.7527368293028125,0.9386042952537537,0.24726316332817078,3.3911567742409994,"[0.18025222420692444, 0.2316465973854065, 0.5881012082099915]",1.0,0.4736555181158505,0.5413205921324006,0.01498363260179758,"[0.43973076343536377, 0.2833104133605957, 0.27695873379707336]",0,0.053750161081552505,0.0,0.13043212890625,0.527503252029419,"[0.0, 0.015118935145437717, 0.008875640109181404, 0.020575160160660744, 0.014348906464874744, 0.02808939479291439, 0.014839373528957367, 0.01498363260179758, 0.13043212890625]","[0.018631327897310257, 0.014675992541015148, 0.014835872687399387, 0.011929095722734928, 0.01120314747095108, 0.011425450444221497, 0.01093472819775343, 0.008028285577893257, 0.007065325044095516, 0.008067207410931587, 0.004730811808258295, 0.011280713602900505, 0.006282609887421131, 0.008874745108187199, 0.006308419164270163, 0.00860568881034851, 0.006813657004386187, 0.009088383987545967, 0.007302090059965849, 0.0074294451624155045, 0.010187876410782337, 0.005971882492303848, 0.0031361167784780264, 0.015019891783595085, 0.018288621678948402, 0.0011457769433036447]",8082,7837,8,18136940,9,19,"{""0.95"": 4425, ""0.9"": 3061, ""0.8"": 1578, ""0.7"": 848}"
p0199,entity_known_unknown,known|p10,9,ok,,cuda,11.82, ,0.5546875,0.11,6.14,0.732632903174508,0.9331014156341553,0.26736706495285034,3.4146040478295885,"[0.27869999408721924, 0.22159580886363983, 0.4997042119503021]",1.0,0.48570906564976846,0.5550960750283068,0.016562454402446747,"[0.47633036971092224, 0.2887156903743744, 0.23495393991470337]",1,0.04580484703183174,0.0,0.11704199761152267,0.4377577304840088,"[0.0, 0.012267502024769783, 0.00488194078207016, 0.05736575648188591, 0.018810655921697617, 0.024558549746870995, 0.015878213569521904, 0.016562454402446747, 0.11704199761152267]","[0.01915757544338703, 0.022937636822462082, 0.013552337884902954, 0.018177926540374756, 0.01343634631484747, 0.011986058205366135, 0.00966877955943346, 0.010115752927958965, 0.008322646841406822, 0.009871691465377808, 0.007013673894107342, 0.011831102892756462, 0.007872789166867733, 0.010024679824709892, 0.006532864645123482, 0.007928544655442238, 0.007943617179989815, 0.008174109272658825, 0.009649313054978848, 0.007364783436059952, 0.012139741331338882, 0.006847396492958069, 0.0042889975011348724, 0.008557687513530254, 0.010131590068340302, 0.0038394336588680744]",8241,7988,8,19089174,9,19,"{""0.95"": 4799, ""0.9"": 3479, ""0.8"": 1945, ""0.7"": 1092}"
